編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQOMLKLJIKFFBH57CA,,210.83,見其他登記事項,鋼筋混凝土造,104年5月18日,四層,一層 二層 三層 四層
RPROMLKLJIKFFBH67CA,,215.95,見其他登記事項,鋼筋混凝土造,104年5月18日,四層,一層 二層 三層 四層
RPPPMLSKJIKFFBH28CA,19,19.83,住家用,鋼筋混凝土造,85年4月19日,六層,一層
RPPPMLSKJIKFFBH28CA,19,5.62,共有部分,鋼筋混凝土造,85年4月19日,六層,
RPUPMLKMJIKFFBH18CA,47,83.25,住家用,加強磚造,57年7月15日,一層,一層
RPQNMLKKJIKFFCH47CA,1,130.50,見其他登記事項,鋼筋混凝土造,103年3月24日,十五層,四層
RPQNMLKKJIKFFCH47CA,1,21.76,見其他登記事項,鋼筋混凝土造,103年3月24日,十五層,
RPQNMLKKJIKFFCH47CA,1,67.70,見其他登記事項,鋼筋混凝土造,103年3月24日,十五層,
RPUNMLQJJIKFFCH38CA,18,69.78,住家用,鋼筋混凝土造,86年8月25日,八層,七層
RPUNMLQJJIKFFCH38CA,18,11.51,共有部份,鋼筋混凝土造,86年8月25日,八層,
RPUNMLQJJIKFFCH38CA,18,42.30,共有部份,鋼筋混凝土造,86年8月25日,八層,
RPWNMLPJJIKFFDH58CA,20,170.61,住家用,鋼筋混凝土造,84年5月31日,四層,一層 二層 三層 四層
RPPOMLQKJIKFFCH08CA,33,8.78,見其他登記事項,鋼筋混凝土造,71年8月26日,七層,
RPPOMLQKJIKFFCH08CA,33,34.86,住家用,鋼筋混凝土造,71年8月26日,七層,六層
